Timestamp,X,Y,Z
20250207151033,264682,-0.161621,-0.228271,0.965332
20250207151034,265687,-0.158569,-0.232788,0.963623
20250207151035,266693,-0.160034,-0.231323,0.964478
20250207151036,267700,-0.161133,-0.229126,0.965210
20250207151037,268705,-0.161499,-0.231445,0.964111
20250207151038,269711,-0.159790,-0.228760,0.965210
20250207151039,270718,-0.160889,-0.229126,0.965576
20250207151040,271722,-0.159180,-0.230103,0.966064
20250207151041,272729,-0.157227,-0.235962,0.964722
20250207151042,273733,-0.152832,-0.242920,0.962524
20250207151043,274737,-0.163574,-0.225830,0.965820
20250207151044,275741,-0.159424,-0.228149,0.966431
20250207151045,276747,-0.160156,-0.226196,0.966553
20250207151046,277752,-0.174561,-0.205811,0.969727
20250207151047,278756,-0.163208,-0.227539,0.965576
20250207151048,279762,-0.158813,-0.229980,0.964722
20250207151049,280766,-0.160034,-0.228516,0.966064
20250207151050,281772,-0.156372,-0.230469,0.965332
20250207151051,282779,-0.162598,-0.226440,0.964722
20250207151052,283785,-0.166016,-0.219238,0.966064
20250207151053,284789,-0.158936,-0.230713,0.965088
20250207151054,285794,-0.161743,-0.225952,0.965210
20250207151055,286799,-0.160156,-0.230469,0.963867
20250207151056,287804,-0.161621,-0.227417,0.965210
20250207151057,288809,-0.163330,-0.228760,0.965942
20250207151058,289812,-0.159912,-0.234375,0.964478
20250207151059,290817,-0.159912,-0.227539,0.965454
20250207151100,291824,-0.159302,-0.229248,0.964966
20250207151101,292831,-0.158569,-0.231689,0.965942
20250207151102,293835,-0.157837,-0.229370,0.965088
20250207151103,294840,-0.160522,-0.229492,0.965088
20250207151104,295847,-0.162476,-0.224976,0.965210
20250207151105,296853,-0.161499,-0.226929,0.964966
20250207151106,297857,-0.160156,-0.229126,0.966064
20250207151107,298864,-0.161499,-0.229370,0.964478
20250207151108,299868,-0.158325,-0.228882,0.965088
20250207151109,300872,-0.163452,-0.218506,0.967896
20250207151110,301876,-0.159790,-0.238159,0.963135
20250207151111,302880,-0.162476,-0.223267,0.966064
20250207151112,303884,-0.159180,-0.229980,0.965698
20250207151113,304889,-0.159790,-0.229858,0.965210
20250207151114,305893,-0.159668,-0.229370,0.965820
20250207151115,306897,-0.157837,-0.229370,0.965698
20250207151116,307901,-0.160767,-0.230835,0.965576
20250207151117,308905,-0.124756,-0.285034,0.956299
20250207151118,309910,-0.164917,-0.220581,0.967896
20250207151119,310916,-0.158447,-0.230103,0.964722
20250207151120,311921,-0.163452,-0.220947,0.966675
20250207151121,312928,-0.161865,-0.228760,0.965454
20250207151122,313932,-0.159790,-0.227783,0.964966
20250207151123,314936,-0.159546,-0.230591,0.964233
20250207151124,315940,-0.162109,-0.221069,0.966797
20250207151125,316944,-0.159546,-0.234619,0.964355
20250207151126,317948,-0.159058,-0.233643,0.964478
20250207151127,318952,-0.156494,-0.234253,0.965332
20250207151128,319956,-0.160400,-0.228882,0.965088
20250207151129,320962,-0.160156,-0.228271,0.965576
20250207151130,321966,-0.161133,-0.225464,0.965698
20250207151131,322970,-0.160156,-0.226929,0.966309
20250207151132,323974,-0.158325,-0.231079,0.964355
20250207151133,324979,-0.158813,-0.229614,0.965088
20250207151134,325985,-0.153809,-0.241943,0.963013
20250207151135,326989,-0.198486,-0.223633,0.953369
20250207151136,327993,-0.172363,-0.205322,0.969238
20250207151137,328998,-0.148926,-0.245728,0.964233
20250207151138,330001,-0.145630,-0.240845,0.966064
20250207151139,331006,-0.161133,-0.229370,0.965454
20250207151140,332009,-0.152710,-0.226929,0.971680
20250207151141,333014,-0.152222,-0.236938,0.964722
20250207151142,334020,-0.156616,-0.233154,0.964844
20250207151143,335027,-0.160278,-0.225464,0.966553
20250207151144,336031,-0.156372,-0.233154,0.965088
20250207151145,337037,-0.160278,-0.226318,0.965332
20250207151146,338043,-0.158691,-0.230103,0.965454
20250207151147,339047,-0.159912,-0.223633,0.965820
20250207151148,340052,-0.164673,-0.218872,0.968628
20250207151149,341055,-0.153076,-0.237915,0.965698
20250207151150,342060,-0.159180,-0.229248,0.965698
20250207151151,343064,-0.160034,-0.229858,0.965820
20250207151152,344068,-0.159058,-0.228882,0.964966
20250207151153,345074,-0.159302,-0.228394,0.965942
20250207151154,346079,-0.159424,-0.228394,0.965210
20250207151155,347084,-0.158081,-0.230103,0.965332
20250207151156,348088,-0.159668,-0.227661,0.966064
20250207151157,349092,-0.160034,-0.228394,0.966187
20250207151158,350096,-0.159058,-0.228638,0.965088
20250207151159,351103,-0.158569,-0.231079,0.966064
20250207151200,352108,-0.159668,-0.227783,0.965698
20250207151201,353113,-0.159790,-0.226440,0.966553
20250207151202,354118,-0.158081,-0.229736,0.966431
20250207151203,355122,-0.158325,-0.230103,0.965088
20250207151204,356126,-0.160278,-0.226196,0.965210
20250207151205,357133,-0.159546,-0.228271,0.964722
20250207151206,358138,-0.132935,-0.286621,0.947510
20250207151207,359141,-0.160156,-0.228149,0.965698
20250207151208,360147,-0.162842,-0.224976,0.966797
20250207151209,361153,-0.159302,-0.230225,0.966797
20250207151210,362156,-0.156616,-0.232544,0.965820
20250207151211,363160,-0.159058,-0.229370,0.965454
20250207151212,364164,-0.158813,-0.230225,0.965820
20250207151213,365168,-0.156128,-0.233398,0.965332
20250207151214,366172,-0.158813,-0.229980,0.964844
20250207151215,367177,-0.154175,-0.237671,0.963135
20250207151216,368182,-0.160767,-0.225342,0.965454
20250207151217,369186,-0.162354,-0.223511,0.964966
20250207151218,370191,-0.160278,-0.226807,0.965820
20250207151219,371198,-0.160278,-0.225586,0.966431
20250207151220,372204,-0.158813,-0.228027,0.966187
20250207151221,373211,-0.159790,-0.228149,0.965332
20250207151222,374217,-0.162354,-0.223511,0.965332
20250207151223,375221,-0.214722,-0.223755,0.957764
20250207151224,376228,-0.158691,-0.232544,0.965576
20250207151225,377234,-0.158325,-0.231567,0.964722
20250207151226,378238,-0.158203,-0.233154,0.963623
20250207151227,379244,-0.157227,-0.230835,0.965210
20250207151228,380250,-0.156982,-0.230591,0.963867
20250207151229,381254,-0.158447,-0.230957,0.965210
20250207151230,382258,-0.158569,-0.234741,0.963867
20250207151231,383261,-0.159790,-0.235962,0.961426
20250207151232,384266,-0.156616,-0.231567,0.964600
20250207151233,385272,-0.158325,-0.231934,0.964111
20250207151234,386277,-0.158447,-0.231812,0.964844
20250207151235,387283,-0.157715,-0.231567,0.964600
20250207151236,388287,-0.157593,-0.233032,0.964722
20250207151237,389291,-0.158203,-0.231323,0.966064
20250207151238,390295,-0.156738,-0.231079,0.965210
20250207151239,391299,-0.157959,-0.231445,0.962646
20250207151240,392303,-0.156128,-0.229736,0.965332
20250207151241,393307,-0.159058,-0.231567,0.963867
20250207151242,394313,-0.158813,-0.233643,0.964478
20250207151243,395319,-0.158569,-0.233032,0.964966
20250207151244,396324,-0.159058,-0.231201,0.966187
20250207151245,397328,-0.162964,-0.245239,0.957520
20250207151246,398334,-0.158325,-0.232300,0.965088
20250207151247,399340,-0.159302,-0.235474,0.963135
20250207151248,400345,-0.158691,-0.231323,0.967651
20250207151249,401349,-0.158813,-0.233887,0.964844
20250207151250,402354,-0.157837,-0.230103,0.965942
20250207151251,403358,-0.157837,-0.232178,0.963867
20250207151252,404363,-0.157959,-0.232544,0.964233
20250207151253,405369,-0.157715,-0.231201,0.965576
20250207151254,406376,-0.156738,-0.238403,0.965088
20250207151255,407379,-0.157715,-0.232422,0.961914
20250207151256,408385,-0.156372,-0.234497,0.961914
20250207151257,409392,-0.156860,-0.228760,0.965698
20250207151258,410399,-0.158203,-0.233276,0.964111
20250207151259,411405,-0.158203,-0.233032,0.966431
20250207151300,412408,-0.157959,-0.232300,0.964111
20250207151301,413414,-0.157959,-0.234497,0.962769
20250207151302,414417,-0.157471,-0.229126,0.965210
20250207151303,415422,-0.156494,-0.226685,0.966187
20250207151304,416426,-0.158203,-0.230957,0.963867
20250207151305,417432,-0.158569,-0.233398,0.964722
